st_id,act_quiz3_state,act_quiz3_start_date,act_quiz3_time,act_quiz3_grade,act_quiz3_q1,act_quiz3_q2,act_quiz3_q3,act_quiz3_q4,act_quiz3_q5,act_quiz3_q6
283423,1.0,2021-06-14 12:32:00,140.0,4.17,0.0,1.0,1.0,0.0,0.49700598802395207,0.0
283946,1.0,2021-06-16 18:14:00,106.0,6.67,0.0,1.0,0.0,1.0,1.0,1.0
275359,1.0,2021-04-16 21:34:00,172.0,4.18,0.0,1.0,0.0,1.0,0.5029940119760479,0.0
275757,1.0,2021-04-18 19:12:00,48.0,4.18,0.0,1.0,0.0,1.0,0.5029940119760479,0.0
281358,1.0,2021-05-26 16:04:00,101.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
281821,1.0,2021-05-31 14:03:00,95.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
280431,1.0,2021-06-16 19:32:00,134.0,4.17,0.0,1.0,0.0,1.0,0.49700598802395207,0.0
281288,1.0,2021-05-25 20:48:00,144.0,7.5,0.0,1.0,1.0,1.0,0.49700598802395207,1.0
284366,1.0,2021-06-20 15:02:00,71.0,8.33,1.0,1.0,0.0,1.0,1.0,1.0
285358,1.0,2021-06-28 14:56:00,125.0,9.17,1.0,1.0,1.0,1.0,0.49700598802395207,1.0
283583,1.0,2021-06-15 00:11:00,216.0,7.5,1.0,1.0,1.0,1.0,0.49700598802395207,0.0
275415,1.0,2021-05-15 21:10:00,178.0,6.68,1.0,0.0,0.0,1.0,1.0,1.0
283461,1.0,2021-06-14 13:11:00,121.0,7.5,1.0,1.0,0.0,1.0,0.49700598802395207,1.0
282734,1.0,2021-06-08 13:03:00,227.0,8.33,1.0,1.0,1.0,0.0,1.0,1.0
281523,1.0,2021-05-27 20:18:00,103.0,8.33,1.0,1.0,0.0,1.0,1.0,1.0
282624,1.0,2021-06-07 18:39:00,746.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
282085,1.0,2021-06-02 16:39:00,93.0,7.5,1.0,1.0,0.0,1.0,0.49700598802395207,1.0
281855,1.0,2021-05-31 21:04:00,79.0,9.17,1.0,1.0,1.0,1.0,0.49700598802395207,1.0
281753,1.0,2021-05-31 21:37:00,77.0,8.33,1.0,1.0,0.0,1.0,1.0,1.0
283281,1.0,2021-06-20 01:36:00,224.0,4.17,1.0,1.0,0.0,0.0,0.49700598802395207,0.0
283791,1.0,2021-06-15 21:41:00,342.0,6.67,1.0,1.0,0.0,1.0,1.0,0.0
281370,1.0,2021-05-26 17:51:00,77.0,7.5,1.0,1.0,1.0,1.0,0.49700598802395207,0.0
281785,1.0,2021-05-31 23:07:00,120.0,7.5,1.0,1.0,0.0,1.0,0.49700598802395207,1.0
281751,1.0,2021-05-30 16:25:00,271.0,7.5,1.0,1.0,1.0,1.0,0.49700598802395207,0.0
284023,1.0,2021-06-17 11:25:00,125.0,8.33,1.0,1.0,1.0,1.0,1.0,0.0
281752,1.0,2021-05-30 18:33:00,215.0,5.83,1.0,0.0,1.0,0.0,0.49700598802395207,1.0
282630,1.0,2021-06-07 20:23:00,127.0,8.33,1.0,1.0,0.0,1.0,1.0,1.0
284714,1.0,2021-06-27 18:10:00,88.0,5.83,1.0,1.0,0.0,1.0,0.49700598802395207,0.0
284478,1.0,2021-06-21 13:29:00,96.0,4.17,1.0,1.0,0.0,0.0,0.49700598802395207,0.0
281800,1.0,2021-05-31 11:11:00,215.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
275752,1.0,2021-04-18 18:13:00,223.0,6.68,1.0,1.0,0.0,1.0,1.0,0.0
282955,1.0,2021-06-10 09:57:00,104.0,6.67,1.0,1.0,0.0,0.0,1.0,1.0
283225,1.0,2021-06-13 23:40:00,135.0,4.17,1.0,0.0,0.0,1.0,0.49700598802395207,0.0
275517,1.0,2021-04-17 10:13:00,65.0,7.52,1.0,1.0,1.0,1.0,0.5029940119760479,0.0
280428,1.0,2021-05-19 16:13:00,429.0,6.67,1.0,1.0,0.0,0.0,1.0,1.0
286593,1.0,2021-07-08 19:36:00,91.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0
287559,1.0,2021-07-18 21:21:00,293.0,5.83,1.0,1.0,1.0,0.0,0.49700598802395207,0.0
