st_age,st_ed_level,st_nb_action,target
1,2,12.0,1
1,2,20.0,1
1,2,12.0,1
1,2,10.0,1
2,3,19.0,0
1,2,18.0,1
1,3,12.0,1
1,2,16.0,0
3,3,15.0,1
1,2,11.0,1
1,2,12.0,1
1,2,10.0,0
1,2,10.0,0
1,2,20.0,0
2,3,18.0,1
1,2,13.0,1
1,3,10.0,0
1,2,16.0,1
1,2,16.0,0
1,2,10.0,1
1,2,12.0,1
1,2,12.0,0
1,2,13.0,0
1,2,17.0,0
1,2,15.0,1
1,1,19.0,1
1,2,11.0,0
1,2,14.0,1
